"Log","Time","Line","Event","View","OldImage","NewImage","TemplateImage","Handling"
"base","2026-05-10 01:25:34.768","53304","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.25.34.768_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.25.34.794_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.25.34.820_raw.png","fall back to the latest viewport"
"base","2026-05-10 01:38:00.410","130603","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.38.00.410_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.38.00.438_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.38.00.463_raw.png","fall back to the latest viewport"
"base","2026-05-10 01:47:29.698","165234","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.47.29.700_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.47.29.724_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.47.29.749_raw.png","fall back to the latest viewport"
"base","2026-05-10 01:57:11.909","209000","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.57.11.910_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.57.11.933_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-01.57.11.952_raw.png","fall back to the latest viewport"
"base","2026-05-10 02:15:26.682","298647","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.15.26.682_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.15.26.704_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.15.26.729_raw.png","fall back to the latest viewport"
"base","2026-05-10 02:28:25.752","367836","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.28.25.754_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.28.25.781_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.28.25.806_raw.png","fall back to the latest viewport"
"base","2026-05-10 02:43:15.200","478092","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.43.15.200_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.43.15.222_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.43.15.246_raw.png","fall back to the latest viewport"
"base","2026-05-10 02:54:51.020","539296","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.54.51.20_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.54.51.42_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-02.54.51.67_raw.png","fall back to the latest viewport"
"base","2026-05-10 03:04:49.760","580549","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.04.49.760_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.04.49.790_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.04.49.815_raw.png","fall back to the latest viewport"
"base","2026-05-10 03:06:25.208","582246","点睛","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.06.25.208_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.06.25.237_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.06.25.266_raw.png","fall back to the latest viewport"
